
 num     #instances         #bytes  class name
----------------------------------------------
   1:       1632381      266887344  [C
   2:        466648      193058144  [I
   3:         51907       27703720  [B
   4:        870775       20898600  java.lang.String
   5:         17064        7449056  [Z
   6:         92074        6670864  [Ljava.lang.Object;
   7:         93198        5964672  java.util.regex.Matcher
   8:         67461        5936568  java.lang.reflect.Method
   9:         79802        5745744  java.util.regex.Pattern
  10:         88337        5653568  java.net.URL
  11:         79639        4459784  [Ljava.util.regex.Pattern$GroupHead;
  12:         52004        4156616  [S
  13:         97412        3896480  java.util.LinkedHashMap$Entry
  14:        155100        3259512  [Ljava.lang.Class;
  15:         30550        3203592  [Ljava.util.HashMap$Node;
  16:         99460        2387040  java.lang.StringBuilder
  17:         65364        2091648  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
  18:         79789        1914936  java.util.regex.Pattern$Slice
  19:         79726        1913424  java.util.regex.Pattern$Start
  20:         79589        1910136  java.util.regex.Pattern$TreeInfo
  21:         79331        1903944  org.springframework.boot.loader.jar.JarURLConnection$JarEntryName
  22:         53136        1700352  java.util.HashMap$Node
  23:         48276        1544832  java.util.concurrent.ConcurrentHashMap$Node
  24:         27063        1299024  java.util.HashMap
  25:         10707        1190320  java.lang.Class
  26:         29611        1184440  java.util.HashMap$KeyIterator
  27:         20206        1131536  java.util.LinkedHashMap
  28:         23672         985032  [Ljava.lang.String;
  29:         27849         891168  java.lang.ref.WeakReference
  30:         24225         846184  [Ljava.lang.reflect.Method;
  31:         11738         845136  java.lang.reflect.Field
  32:         17011         816528  org.springframework.core.ResolvableType
  33:         33306         799344  java.util.ArrayList
  34:           424         703200  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  35:           435         591600  [Lsun.security.ssl.CipherSuite;
  36:          6936         554880  org.springframework.boot.loader.jar.JarURLConnection
  37:         32187         514992  java.lang.Object
  38:         12417         496680  java.lang.ref.SoftReference
  39:         18640         466704  [Ljava.lang.reflect.Type;
  40:         16817         403608  java.lang.Class$MethodArray
  41:         20220         392104  [Ljava.lang.annotation.Annotation;
  42:          6992         391552  java.beans.MethodDescriptor
  43:          9360         374400  org.springframework.util.ConcurrentReferenceHashMap$Segment
  44:         15232         365568  java.beans.MethodRef
  45:         10547         337504  java.util.concurrent.locks.ReentrantLock$NonfairSync
  46:         10115         323680  java.util.LinkedHashMap$LinkedKeyIterator
  47:         10078         322496  java.util.LinkedList
  48:          9898         316736  java.lang.ref.ReferenceQueue
  49:          2821         315952  org.springframework.boot.loader.jar.JarEntry
  50:          7817         312680  org.springframework.boot.loader.data.RandomAccessDataFile
  51:          3235         310560  sun.util.calendar.Gregorian$Date
  52:         19256         308096  java.util.HashSet
  53:          3732         298560  java.lang.reflect.Constructor
  54:          9522         294864  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  55:          4359         278976  org.springframework.core.MethodParameter
  56:          8654         276928  java.lang.NoSuchMethodException
  57:          7827         250464  sun.security.util.DerInputBuffer
  58:          6218         248720  java.util.TreeMap$Entry
  59:          7370         235840  java.util.ArrayList$Itr
  60:          9360         224640  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
  61:          4546         218208  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  62:          4520         216960  java.util.zip.Inflater
  63:          5335         213400  java.io.FileDescriptor
  64:          8825         211800  org.springframework.core.annotation.AnnotatedElementUtils$MergedAnnotationAttributesProcessor
  65:          8739         209736  java.util.LinkedList$Node
  66:          8709         209016  sun.security.util.DerInputStream
  67:          6447         206304  sun.security.util.DerValue
  68:          4776         191040  java.lang.ref.Finalizer
